url,Prices,Model_Name
https://www.trocafone.com/vender/iphone/iphone-6s-plus/498-iphone-6s-plus-64gb-ouro-rosa,829,iPhone 6S Plus 64GB Ouro Rosa
https://www.trocafone.com/vender/iphone/iphone-6s-plus/496-iphone-6s-plus-64gb-dourado,829,iPhone 6S Plus 64GB Dourado
https://www.trocafone.com/vender/iphone/iphone-6s-plus/497-iphone-6s-plus-64gb-cinza-espacial,829,iPhone 6S Plus 64GB Cinza Espacial
https://www.trocafone.com/vender/iphone/iphone-6s-plus/491-iphone-6s-plus-16gb-prateado,788,iPhone 6S Plus 16GB Prateado
https://www.trocafone.com/vender/iphone/iphone-6s-plus/494-iphone-6s-plus-16gb-ouro-rosa,788,iPhone 6S Plus 16GB Ouro Rosa
https://www.trocafone.com/vender/iphone/iphone-6s-plus/492-iphone-6s-plus-16gb-dourado,788,iPhone 6S Plus 16GB Dourado
https://www.trocafone.com/vender/iphone/iphone-6s-plus/493-iphone-6s-plus-16gb-cinza-espacial,788,iPhone 6S Plus 16GB Cinza Espacial
https://www.trocafone.com/vender/iphone/iphone-6s-plus/499-iphone-6s-plus-128gb-prateado,923,iPhone 6S Plus 128GB Prateado
https://www.trocafone.com/vender/iphone/iphone-6s-plus/502-iphone-6s-plus-128gb-ouro-rosa,923,iPhone 6S Plus 128GB Ouro Rosa
https://www.trocafone.com/vender/iphone/iphone-6s-plus/500-iphone-6s-plus-128gb-dourado,923,iPhone 6S Plus 128GB Dourado
https://www.trocafone.com/vender/iphone/7/710-iphone-7-32gb-prateado,900,iPhone 7 32GB Prateado
https://www.trocafone.com/vender/iphone/7/732-iphone-7-32gb-ouro-rosa,900,iPhone 7 32GB Ouro Rosa
https://www.trocafone.com/vender/iphone/7/707-iphone-7-32gb-dourado,900,iPhone 7 32GB Dourado
https://www.trocafone.com/vender/iphone/7/845-iphone-7-256gb-vermelho,998,iPhone 7 256GB Vermelho
https://www.trocafone.com/vender/iphone/7/706-iphone-7-256gb-preto-matte,998,iPhone 7 256GB Preto Matte
https://www.trocafone.com/vender/iphone/7/703-iphone-7-256gb-preto-brilhante,998,iPhone 7 256GB Preto Brilhante
https://www.trocafone.com/vender/iphone/7/712-iphone-7-256gb-prateado,998,iPhone 7 256GB Prateado
https://www.trocafone.com/vender/iphone/7/716-iphone-7-256gb-ouro-rosa,998,iPhone 7 256GB Ouro Rosa
https://www.trocafone.com/vender/iphone/7/709-iphone-7-256gb-dourado,998,iPhone 7 256GB Dourado
https://www.trocafone.com/vender/iphone/7/705-iphone-7-128gb-preto-matte,946,iPhone 7 128GB Preto Matte
https://www.trocafone.com/vender/iphone/7/702-iphone-7-128gb-preto-brilhante,946,iPhone 7 128GB Preto Brilhante
https://www.trocafone.com/vender/iphone/7/711-iphone-7-128gb-prateado,946,iPhone 7 128GB Prateado
https://www.trocafone.com/vender/iphone/7/715-iphone-7-128gb-ouro-rosa,946,iPhone 7 128GB Ouro Rosa
https://www.trocafone.com/vender/iphone/7-plus/722-iphone-7-plus-32gb-prateado,1055,iPhone 7 Plus 32GB Prateado
https://www.trocafone.com/vender/iphone/7-plus/733-iphone-7-plus-32gb-ouro-rosa,1055,iPhone 7 Plus 32GB Ouro Rosa
https://www.trocafone.com/vender/iphone/7-plus/725-iphone-7-plus-32gb-dourado,1055,iPhone 7 Plus 32GB Dourado
https://www.trocafone.com/vender/iphone/7-plus/718-iphone-7-plus-256gb-preto-brilhante,1262,iPhone 7 Plus 256GB Preto Brilhante
https://www.trocafone.com/vender/iphone/7-plus/846-iphone-7-plus-256gb-vermelho,1262,iPhone 7 Plus 256GB Vermelho
https://www.trocafone.com/vender/iphone/7-plus/721-iphone-7-plus-256gb-preto-matte,1262,iPhone 7 Plus 256GB Preto Matte
https://www.trocafone.com/vender/iphone/7-plus/724-iphone-7-plus-256gb-prateado,1262,iPhone 7 Plus 256GB Prateado
https://www.trocafone.com/vender/iphone/7-plus/731-iphone-7-plus-256gb-ouro-rosa,1262,iPhone 7 Plus 256GB Ouro Rosa
https://www.trocafone.com/vender/iphone/7-plus/727-iphone-7-plus-256gb-dourado,1262,iPhone 7 Plus 256GB Dourado
https://www.trocafone.com/vender/iphone/7-plus/847-iphone-7-plus-128gb-vermelho,1156,iPhone 7 Plus 128GB Vermelho
https://www.trocafone.com/vender/iphone/7-plus/717-iphone-7-plus-128gb-preto-brilhante,1156,iPhone 7 Plus 128GB Preto Brilhante
https://www.trocafone.com/vender/iphone/7-plus/723-iphone-7-plus-128gb-prateado,1156,iPhone 7 Plus 128GB Prateado
https://www.trocafone.com/vender/iphone/7-plus/730-iphone-7-plus-128gb-ouro-rosa,1156,iPhone 7 Plus 128GB Ouro Rosa
https://www.trocafone.com/vender/iphone/iphone-8/948-iphone-8-64gb-dourado,1540,iPhone 8 64GB Dourado
https://www.trocafone.com/vender/iphone/7-plus/720-iphone-7-plus-128gb-preto-matte,1156,iPhone 7 Plus 128GB Preto Matte
https://www.trocafone.com/vender/iphone/iphone-8/949-iphone-8-64gb-prateado,1540,iPhone 8 64GB Prateado
https://www.trocafone.com/vender/iphone/iphone-8/947-iphone-8-64gb-cinza-espacial,1540,iPhone 8 64GB Cinza Espacial
https://www.trocafone.com/vender/iphone/7/844-iphone-7-128gb-vermelho,946,iPhone 7 128GB Vermelho
https://www.trocafone.com/vender/iphone/iphone-8/951-iphone-8-256gb-prateado,1890,iPhone 8 256GB Prateado
https://www.trocafone.com/vender/iphone/iphone-8/952-iphone-8-256gb-dourado,1890,iPhone 8 256GB Dourado
https://www.trocafone.com/vender/iphone/iphone-8-plus/953-iphone-8-plus-64gb-cinza-espacial,1879,iPhone 8 Plus 64GB Cinza Espacial
https://www.trocafone.com/vender/iphone/iphone-8-plus/955-iphone-8-plus-64gb-prateado,1879,iPhone 8 Plus 64GB Prateado
https://www.trocafone.com/vender/iphone/iphone-8-plus/957-iphone-8-plus-256gb-prateado,2127,iPhone 8 Plus 256GB Prateado
https://www.trocafone.com/vender/iphone/iphone-8-plus/954-iphone-8-plus-64gb-dourado,1879,iPhone 8 Plus 64GB Dourado
https://www.trocafone.com/vender/iphone/6s/461-iphone-6s-16gb-cinza-espacial,652,Iphone 6S 16GB Cinza Espacial
https://www.trocafone.com/vender/iphone/iphone-8-plus/956-iphone-8-plus-256gb-dourado,2127,iPhone 8 Plus 256GB Dourado
https://www.trocafone.com/vender/iphone/iphone-se/932-iphone-se-128gb-cinza-espacial,498,iPhone SE 128GB Cinza Espacial
https://www.trocafone.com/vender/asus/zenfone-3-zoom/918-asus-zenfone-3-zoom-128gb-prata,520,Asus Zenfone 3 Zoom 128GB Prata
https://www.trocafone.com/vender/sony/xperia-z5/833-sony-xperia-z5-preto,441,Sony Xperia Z5 Preto
https://www.trocafone.com/vender/sony/xperia-z5/834-sony-xperia-z5-dourado,441,Sony Xperia Z5 Dourado
https://www.trocafone.com/vender/sony/xperia-z5/832-sony-xperia-z5-branco,441,Sony Xperia Z5 Branco
https://www.trocafone.com/vender/sony/xperia-z5-premium/837-sony-xperia-z5-premium-preto,465,Sony Xperia Z5 Premium Preto
https://www.trocafone.com/vender/sony/xperia-z5-premium/835-sony-xperia-z5-premium-cromo,465,Sony Xperia Z5 Premium Cromo
https://www.trocafone.com/vender/sony/xperia-z3-plus/678-sony-xperia-z3-plus-cobre,183,Sony Xperia Z3 Plus Cobre
https://www.trocafone.com/vender/sony/xperia-z3-plus/679-sony-xperia-z3-plus-verde-agua,183,Sony Xperia Z3 Plus Verde Água
https://www.trocafone.com/vender/sony/xperia-z3-plus/676-sony-xperia-z3-plus-preto,183,Sony Xperia Z3 Plus Preto
https://www.trocafone.com/vender/sony/xperia-m4-aqua-dual/903-sony-xperia-m4-aqua-dual-prata,225,Sony Xperia M4 Aqua Dual Prata
https://www.trocafone.com/vender/sony/xperia-m4-aqua-dual/840-sony-xperia-m4-aqua-dual-coral,225,Sony Xperia M4 Aqua Dual Coral
https://www.trocafone.com/vender/sony/xperia-m4-aqua-dual/839-sony-xperia-m4-aqua-dual-branco,225,Sony Xperia M4 Aqua Dual Branco
https://www.trocafone.com/vender/asus/zenfone-3-zoom/917-asus-zenfone-3-zoom-64gb-rosa,470,Asus Zenfone 3 Zoom 64GB Rosa
https://www.trocafone.com/vender/quantum/quantum-muv-pro/855-quantum-muv-pro-dourado,199,Quantum Muv Pro Dourado
https://www.trocafone.com/vender/quantum/quantum-muv-pro/854-quantum-muv-pro-azul-escuro,199,Quantum Muv Pro Azul Escuro
https://www.trocafone.com/vender/sony/xperia-m4-aqua-dual/838-sony-xperia-m4-aqua-dual-preto,225,Sony Xperia M4 Aqua Dual Preto
https://www.trocafone.com/vender/lg/lg-k10/810-lg-k10-tv-dourado,81,LG K10 TV Dourado
https://www.trocafone.com/vender/lg/lg-k10/809-lg-k10-tv-branco,81,LG K10 TV Branco
https://www.trocafone.com/vender/sony/xperia-z5-premium/836-sony-xperia-z5-premium-dourado,465,Sony Xperia Z5 Premium Dourado
https://www.trocafone.com/vender/lg/lg-k4/806-lg-k4-indigo,60,LG K4 Indigo
https://www.trocafone.com/vender/lg/lg-k10/811-lg-k10-tv-indigo,81,LG K10 TV Indigo
https://www.trocafone.com/vender/lg/l-prime-d337/648-lg-l-prime-d337-preto,72,LG L Prime D337 Preto
https://www.trocafone.com/vender/quantum/go-4g/689-quantum-go-4g-16gb-cinza,155,Quantum GO 4G 16GB Cinza
https://www.trocafone.com/vender/quantum/go-4g/691-quantum-go-4g-16gb-branco,155,Quantum GO 4G 16GB Branco
https://www.trocafone.com/vender/quantum/quantum-muv/853-quantum-muv-rosa,182,Quantum Muv Rosa
https://www.trocafone.com/vender/quantum/quantum-muv-pro/856-quantum-muv-pro-rosa,199,Quantum Muv Pro Rosa
https://www.trocafone.com/vender/quantum/quantum-muv/851-quantum-muv-dourado,182,Quantum Muv Dourado
https://www.trocafone.com/vender/quantum/go-4g/694-quantum-go-4g-32gb-dourado,171,Quantum GO 4G 32GB Dourado
https://www.trocafone.com/vender/quantum/go-4g/693-quantum-go-4g-32gb-cinza,171,Quantum GO 4G 32GB Cinza
https://www.trocafone.com/vender/quantum/go-4g/692-quantum-go-4g-32gb-branco,171,Quantum GO 4G 32GB Branco
https://www.trocafone.com/vender/quantum/go-4g/690-quantum-go-4g-16gb-dourado,155,Quantum GO 4G 16GB Dourado
https://www.trocafone.com/vender/quantum/quantum-muv/852-quantum-muv-azul-escuro,182,Quantum Muv Azul Escuro
https://www.trocafone.com/vender/lg/lg-l80-dual/894-lg-l80-dual-preto,44,LG L80 Dual Preto
https://www.trocafone.com/vender/lg/lg-k4/805-lg-k4-branco,60,LG K4 Branco
https://www.trocafone.com/vender/lg/lg-k8/808-lg-k8-indigo,80,LG K8 Indigo
https://www.trocafone.com/vender/lg/l-prime-d337/452-lg-l-prime-d337-branco,72,LG L Prime D337 Branco
https://www.trocafone.com/vender/lg/lg-l80-dual/893-lg-l80-dual-branco,44,LG L80 Dual Branco
https://www.trocafone.com/vender/sony/xperia-z2/911-sony-xperia-z2-roxo,247,Sony Xperia Z2 Roxo
https://www.trocafone.com/vender/sony/sony-z3-compact/421-sony-xperia-z3-compact-vermelho,160,Sony Xperia Z3 Compact Vermelho
https://www.trocafone.com/vender/lg/lg-k8/807-lg-k8-dourado,80,LG K8 Dourado
https://www.trocafone.com/vender/lg/l-prime-d337/453-lg-l-prime-d337-dourado,72,LG L Prime D337 Dourado
https://www.trocafone.com/vender/sony/xperia-z3/683-sony-xperia-z3-verde,284,Sony Xperia Z3 Verde
https://www.trocafone.com/vender/sony/xperia-z2/229-sony-xperia-z2-preto,247,Sony Xperia Z2 Preto
https://www.trocafone.com/vender/sony/xperia-z2/230-sony-xperia-z2-branco,247,Sony Xperia Z2 Branco
https://www.trocafone.com/vender/sony/xperia-z3/681-sony-xperia-z3-preto,284,Sony Xperia Z3 Preto
https://www.trocafone.com/vender/sony/xperia-z3/682-sony-xperia-z3-cobre,284,Sony Xperia Z3 Cobre
https://www.trocafone.com/vender/sony/xperia-z3/680-sony-xperia-z3-branco,284,Sony Xperia Z3 Branco
https://www.trocafone.com/vender/sony/sony-z3-compact/420-sony-xperia-z3-compact-verde,160,Sony Xperia Z3 Compact Verde
https://www.trocafone.com/vender/sony/sony-z3-compact/418-sony-xperia-z3-compact-branco,160,Sony Xperia Z3 Compact Branco
https://www.trocafone.com/vender/sony/xperia-z3-dual/673-sony-xperia-z3-dual-preto,178,Sony Xperia Z3 Dual Preto
